name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s) [31 Oct 2013 u32 n]
fasta,Ruby JRuby,1,250000,760,9.472,458816,0,0% 0% 1% 100%,9.493
fasta,Ruby JRuby,1,2500000,760,31.876,575732,0,0% 0% 0% 100%,32.251
fasta,Ruby JRuby,1,25000000,760,250.036,582316,0,0% 0% 0% 100%,253.74
fasta,ATS,1,250000,2104,0.056,0,0,0% 0% 0% 100%,0.058
fasta,ATS,1,2500000,2104,0.552,288,0,2% 0% 4% 100%,0.555
fasta,ATS,1,25000000,2104,5.200,288,0,0% 1% 0% 100%,5.204
fasta,F# Mono,1,250000,978,0.280,256,0,0% 3% 3% 97%,0.284
fasta,F# Mono,1,2500000,978,1.216,16180,0,1% 1% 1% 100%,1.623
fasta,F# Mono,1,25000000,978,9.948,16184,0,0% 1% 1% 100%,9.955
fasta-redux,C gcc,3,250000,1321,0.020,0,0,0% 0% 0% 67%,0.024
fasta-redux,C gcc,3,2500000,1321,0.200,292,0,0% 0% 5% 95%,0.215
fasta-redux,C gcc,3,25000000,1321,1.660,296,0,1% 0% 1% 100%,1.666
fasta-redux,F# Mono,2,250000,1074,0.360,268,0,0% 3% 8% 100%,0.366
fasta-redux,F# Mono,2,2500000,1074,0.668,17436,0,7% 0% 1% 100%,0.674
fasta-redux,F# Mono,2,25000000,1074,3.356,17440,0,1% 0% 0% 100%,3.362
fasta-redux,Go,3,250000,1237,0.032,0,0,0% 0% 0% 100%,0.034
fasta-redux,Go,3,2500000,1237,0.228,260,0,4% 0% 4% 100%,0.232
fasta-redux,Go,3,25000000,1237,1.884,1012,0,1% 1% 1% 100%,1.887
fasta-redux,C# Mono,1,250000,1438,0.152,0,0,0% 0% 0% 94%,0.157
fasta-redux,C# Mono,1,2500000,1438,0.380,288,0,3% 0% 5% 100%,0.382
fasta-redux,C# Mono,1,25000000,1438,2.292,15452,0,0% 0% 2% 100%,2.292
fasta-redux,Pascal Free Pascal,1,250000,1227,0.052,0,0,0% 14% 0% 100%,0.056
fasta-redux,Pascal Free Pascal,1,2500000,1227,0.508,8,0,2% 2% 0% 100%,0.511
fasta-redux,Pascal Free Pascal,1,25000000,1227,4.792,8,0,0% 1% 0% 100%,4.795
fasta-redux,Scala,2,250000,1372,0.416,18044,0,0% 0% 2% 98%,0.431
fasta-redux,Scala,2,2500000,1372,0.820,21024,0,0% 0% 1% 100%,0.824
fasta-redux,Scala,2,25000000,1372,4.284,23268,0,0% 0% 1% 100%,4.289
fasta-redux,C++ g++,2,250000,1474,0.028,0,0,0% 0% 0% 100%,0.033
fasta-redux,C++ g++,2,2500000,1474,0.252,264,0,0% 0% 8% 96%,0.254
fasta-redux,C++ g++,2,25000000,1474,2.160,632,0,0% 0% 2% 100%,2.162
fasta-redux,Perl,1,250000,1112,1.812,2252,0,1% 0% 0% 100%,1.821
fasta-redux,Perl,1,2500000,1112,17.660,2252,0,0% 1% 1% 100%,17.672
fasta-redux,Perl,1,25000000,1112,175.364,2256,0,0% 0% 1% 100%,175.456
fasta-redux,Java 7,3,250000,1443,0.112,0,0,0% 0% 0% 100%,0.115
fasta-redux,Java 7,3,2500000,1443,0.328,248,0,3% 0% 3% 100%,0.333
fasta-redux,Java 7,3,25000000,1443,1.884,15116,0,0% 0% 2% 100%,1.89
fasta-redux,ATS,4,250000,2593,0.024,0,0,0% 0% 0% 100%,0.025
fasta-redux,ATS,4,2500000,2593,0.228,284,0,0% 0% 4% 100%,0.231
fasta-redux,ATS,4,25000000,2593,1.956,288,0,0% 1% 1% 100%,1.958
fasta-redux,Ada 2005 GNAT,2,250000,1909,0.024,0,0,0% 0% 0% 100%,0.029
fasta-redux,Ada 2005 GNAT,2,2500000,1909,0.256,476,0,0% 0% 4% 100%,0.258
fasta-redux,Ada 2005 GNAT,2,25000000,1909,1.996,1236,0,1% 0% 0% 100%,2.001
fasta-redux,Lisp SBCL,4,250000,2005,0.108,4872,0,4% 0% 2% 100%,0.466
fasta-redux,Lisp SBCL,4,2500000,2005,0.984,5136,0,0% 0% 1% 100%,0.988
fasta-redux,Lisp SBCL,4,25000000,2005,9.244,9352,0,0% 0% 0% 100%,9.249
fasta-redux,Smalltalk VisualWorks,1,250000,1772,0.460,22220,0,0% 0% 6% 94%,0.497
fasta-redux,Smalltalk VisualWorks,1,2500000,1772,3.768,22216,0,0% 0% 1% 100%,3.774
fasta-redux,Smalltalk VisualWorks,1,25000000,1772,36.174,22216,0,0% 0% 0% 100%,36.194
fasta-redux,Clojure,4,250000,1503,11.460,76176,0,0% 0% 1% 100%,11.473
fasta-redux,Clojure,4,2500000,1503,12.460,72628,0,0% 0% 1% 100%,12.475
fasta-redux,Clojure,4,25000000,1503,22.816,73328,0,0% 0% 0% 100%,22.844
fasta-redux,Dart,1,250000,1489,0.164,0,0,0% 0% 0% 100%,0.17
fasta-redux,Dart,1,2500000,1489,0.900,55056,0,1% 1% 1% 100%,0.908
fasta-redux,Dart,1,25000000,1489,5.996,281052,0,1% 0% 0% 100%,6.002
k-nucleotide,Clojure,6,250000,1737,12.204,210892,0,0% 0% 0% 100%,12.22
k-nucleotide,Clojure,6,2500000,1737,24.748,455416,0,0% 1% 0% 100%,24.78
k-nucleotide,Clojure,6,25000000,1737,102.376,1015876,0,0% 0% 0% 100%,102.505
k-nucleotide,Lisp SBCL,5,250000,2301,0.832,99736,0,0% 0% 2% 100%,0.842
k-nucleotide,Lisp SBCL,5,2500000,2301,7.112,102968,0,0% 0% 1% 100%,7.56
k-nucleotide,Lisp SBCL,5,25000000,2301,69.112,105240,0,0% 0% 0% 100%,69.192
k-nucleotide,Erlang HiPE,3,250000,932,2.920,32768,0,0% 0% 0% 100%,2.932
k-nucleotide,Erlang HiPE,3,2500000,932,26.830,115664,0,0% 0% 0% 100%,26.857
k-nucleotide,Erlang HiPE,3,25000000,932,267.321,1045072,0,0% 0% 0% 100%,267.518
k-nucleotide,F# Mono,4,250000,1505,1.184,40540,0,0% 1% 2% 100%,1.188
k-nucleotide,F# Mono,4,2500000,1505,7.244,101480,0,0% 1% 1% 100%,7.255
k-nucleotide,F# Mono,4,25000000,1505,65.836,990408,0,0% 1% 1% 100%,65.89
k-nucleotide,Ruby JRuby,4,250000,449,5.980,285300,0,1% 0% 1% 100%,6.008
k-nucleotide,Ruby JRuby,4,2500000,449,15.124,755464,0,0% 0% 0% 100%,15.184
k-nucleotide,Ruby JRuby,4,25000000,449,95.376,2176584,0,1% 0% 0% 100%,95.479
k-nucleotide,PHP,1,250000,1036,0.504,6544,0,2% 0% 4% 100%,0.537
k-nucleotide,PHP,1,2500000,1036,4.712,27260,0,0% 1% 0% 100%,4.808
k-nucleotide,PHP,1,25000000,1036,46.816,246948,0,0% 0% 0% 100%,46.865
k-nucleotide,ATS,2,250000,3238,0.352,316,0,0% 0% 3% 100%,0.355
k-nucleotide,ATS,2,2500000,3238,4.004,14304,0,0% 0% 1% 100%,4.008
k-nucleotide,ATS,2,25000000,3238,32.150,124132,0,0% 0% 0% 100%,32.168
k-nucleotide,Lua,2,250000,613,2.596,20560,0,0% 0% 1% 100%,2.623
k-nucleotide,Lua,2,2500000,613,22.861,68588,0,0% 0% 0% 100%,22.975
k-nucleotide,Lua,2,25000000,613,220.114,707928,0,0% 0% 0% 100%,220.81
k-nucleotide,Fortran Intel,2,250000,2079,0.760,33280,0,1% 0% 3% 100%,0.777
k-nucleotide,Fortran Intel,2,2500000,2079,6.304,41880,0,2% 0% 0% 100%,6.361
k-nucleotide,Fortran Intel,2,25000000,2079,60.780,166868,0,1% 0% 0% 100%,60.819
k-nucleotide,C CINT,1,250000,1224,1135.895,20252,0,0% 0% 0% 100%,1136.233
k-nucleotide,Go,5,250000,1268,0.616,15364,0,0% 0% 2% 100%,0.669
k-nucleotide,Go,5,2500000,1268,5.396,38016,0,2% 0% 0% 100%,5.71
k-nucleotide,Go,5,25000000,1268,51.744,260216,0,1% 0% 0% 100%,51.773
k-nucleotide,Haskell GHC,3,250000,2749,0.824,46540,0,0% 1% 1% 100%,0.828
k-nucleotide,Haskell GHC,3,2500000,2749,7.948,65300,0,0% 0% 1% 100%,7.955
k-nucleotide,Haskell GHC,3,25000000,2749,71.548,308860,0,0% 0% 0% 100%,71.605
k-nucleotide,JavaScript V8,5,250000,1249,1.148,24076,0,1% 0% 1% 100%,1.419
k-nucleotide,JavaScript V8,5,2500000,1249,10.216,36112,0,0% 0% 0% 100%,10.27
k-nucleotide,JavaScript V8,5,25000000,1249,95.564,36672,0,0% 0% 0% 100%,95.677
k-nucleotide,Ruby 2.0,4,250000,449,2.048,9752,0,0% 0% 0% 100%,2.054
k-nucleotide,Ruby 2.0,4,2500000,449,20.248,54356,0,0% 0% 0% 100%,20.259
k-nucleotide,Ruby 2.0,4,25000000,449,201.340,499264,0,0% 0% 0% 100%,201.416
k-nucleotide,C# Mono,4,250000,1696,1.348,40068,0,0% 1% 0% 99%,1.352
k-nucleotide,C# Mono,4,2500000,1696,10.988,95948,0,0% 1% 1% 100%,10.996
k-nucleotide,C# Mono,4,25000000,1696,107.604,545004,0,1% 1% 1% 100%,107.656
k-nucleotide,Ada 2005 GNAT,2,250000,4865,0.284,300,0,0% 0% 3% 97%,0.315
k-nucleotide,Ada 2005 GNAT,2,2500000,4865,2.680,33800,0,1% 0% 1% 100%,2.697
k-nucleotide,Ada 2005 GNAT,2,25000000,4865,23.044,253492,0,0% 1% 0% 100%,23.083
k-nucleotide,OCaml,3,250000,1789,0.628,45792,0,0% 3% 0% 100%,0.645
k-nucleotide,OCaml,3,2500000,1789,5.860,228104,0,0% 0% 1% 100%,5.878
k-nucleotide,Python 3,8,250000,647,4.784,49924,0,1% 0% 0% 100%,4.81
k-nucleotide,Python 3,8,2500000,647,46.347,19444,0,1% 0% 0% 100%,46.429
k-nucleotide,Python 3,8,25000000,647,474.710,426212,0,1% 0% 0% 100%,474.949
k-nucleotide,Smalltalk VisualWorks,5,250000,1153,3.448,47300,0,0% 1% 1% 99%,3.49
k-nucleotide,Smalltalk VisualWorks,5,2500000,1153,32.690,96404,0,0% 0% 0% 100%,32.747
k-nucleotide,Smalltalk VisualWorks,5,25000000,1153,313.188,343320,0,0% 0% 0% 100%,313.44
k-nucleotide,Java 7,3,250000,1630,1.036,47132,0,0% 0% 2% 99%,1.042
k-nucleotide,Java 7,3,2500000,1630,6.012,134412,0,0% 1% 0% 100%,6.022
k-nucleotide,Java 7,3,25000000,1630,50.536,494288,0,0% 0% 0% 100%,50.575
k-nucleotide,Racket,1,250000,542,2.604,53684,0,0% 0% 1% 100%,2.628
k-nucleotide,Racket,1,2500000,542,22.552,157104,0,0% 0% 1% 100%,22.599
k-nucleotide,Racket,1,25000000,542,218.684,1419360,0,0% 0% 1% 100%,218.944
k-nucleotide,Scala,2,250000,2080,1.344,43988,0,0% 1% 2% 100%,1.36
k-nucleotide,Scala,2,2500000,2080,4.076,76564,0,0% 0% 1% 100%,4.333
k-nucleotide,Scala,2,25000000,2080,29.832,213232,0,0% 1% 0% 100%,29.857
k-nucleotide,Perl,2,250000,359,2.244,30812,0,0% 0% 1% 100%,2.31
k-nucleotide,Perl,2,2500000,359,20.584,77904,0,0% 1% 1% 100%,20.939
k-nucleotide,Perl,2,25000000,359,206.304,707940,0,0% 0% 0% 100%,209.52
k-nucleotide,Pascal Free Pascal,2,250000,2383,0.500,2012,0,2% 4% 0% 100%,0.54
k-nucleotide,Pascal Free Pascal,2,2500000,2383,5.780,18528,0,0% 1% 0% 100%,6.002
k-nucleotide,Pascal Free Pascal,2,25000000,2383,48.639,128396,0,0% 0% 0% 100%,48.664
k-nucleotide,C gcc,7,250000,2280,0.556,32584,0,2% 2% 2% 100%,0.56
k-nucleotide,C gcc,7,2500000,2280,4.144,43504,0,1% 0% 0% 100%,4.15
k-nucleotide,C gcc,7,25000000,2280,39.532,153436,0,0% 1% 1% 100%,39.563
mandelbrot,Racket,4,1000,796,0.452,17384,0,0% 0% 2% 100%,0.458
mandelbrot,Racket,4,4000,796,5.052,19548,0,0% 1% 0% 100%,5.059
mandelbrot,Racket,4,16000,796,78.052,50872,0,0% 0% 0% 100%,78.083
mandelbrot,Lua,1,1000,353,3.164,820,0,0% 0% 1% 100%,3.169
mandelbrot,Lua,1,4000,353,44.799,816,0,0% 1% 0% 100%,44.813
mandelbrot,Lua,1,16000,353,786.433,1044,0,0% 0% 0% 100%,786.61
mandelbrot,Ruby 2.0,3,1000,307,18.044,4752,0,1% 0% 1% 100%,18.054
mandelbrot,Ruby 2.0,3,4000,307,304.996,4748,0,0% 1% 1% 100%,305.13
mandelbrot,Ruby 2.0,3,16000,307,4756.940,4752,0,0% 0% 0% 100%,4759.02
mandelbrot,C gcc,7,1000,859,0.076,0,0,0% 13% 0% 100%,0.078
mandelbrot,C gcc,7,4000,859,1.084,1928,0,0% 3% 0% 99%,1.086
mandelbrot,C gcc,7,16000,859,16.716,30440,0,1% 1% 1% 100%,16.726
mandelbrot,Python 3,2,1000,777,7.588,6532,0,1% 1% 0% 100%,9.16
mandelbrot,Python 3,2,4000,777,111.251,6564,0,0% 0% 0% 100%,123.752
mandelbrot,Python 3,2,16000,777,1845.311,6748,0,1% 0% 0% 100%,1968.402
mandelbrot,C# Mono,4,1000,872,0.248,288,0,0% 0% 4% 100%,0.252
mandelbrot,C# Mono,4,4000,872,2.116,17836,0,0% 1% 0% 100%,2.122
mandelbrot,C# Mono,4,16000,872,31.944,49808,0,0% 1% 1% 100%,31.957
mandelbrot,Fortran Intel,6,1000,967,0.064,0,0,0% 0% 0% 100%,0.068
mandelbrot,Fortran Intel,6,4000,967,0.912,2408,0,1% 3% 1% 100%,0.914
mandelbrot,Fortran Intel,6,16000,967,13.981,31280,0,0% 0% 1% 100%,13.987
mandelbrot,C++ g++,4,1000,840,0.068,0,0,13% 0% 0% 100%,0.072
mandelbrot,C++ g++,4,4000,840,1.040,2780,0,0% 0% 0% 100%,1.042
mandelbrot,C++ g++,4,16000,840,16.140,32088,0,1% 0% 1% 100%,16.149
mandelbrot,Pascal Free Pascal,3,1000,530,0.308,8,0,0% 6% 0% 100%,0.312
mandelbrot,Pascal Free Pascal,3,4000,530,4.936,8,0,2% 3% 0% 100%,4.94
mandelbrot,Pascal Free Pascal,3,16000,530,78.741,8,0,0% 0% 0% 100%,78.762
mandelbrot,ATS,1,1000,2148,0.104,0,0,0% 8% 8% 100%,0.108
mandelbrot,ATS,1,4000,2148,1.572,1368,0,0% 1% 0% 100%,1.577
mandelbrot,ATS,1,16000,2148,24.654,30148,0,0% 0% 0% 100%,24.661
mandelbrot,OCaml,6,1000,444,0.340,356,0,0% 0% 3% 100%,0.343
mandelbrot,OCaml,6,4000,444,5.396,1648,0,0% 3% 2% 100%,5.399
mandelbrot,OCaml,6,16000,444,85.932,1648,0,0% 0% 0% 100%,85.962
mandelbrot,Clojure,5,1000,1069,10.612,104552,0,0% 0% 0% 100%,10.627
mandelbrot,Clojure,5,4000,1069,14.460,109540,0,0% 0% 0% 100%,14.475
mandelbrot,Clojure,5,16000,1069,63.292,104476,0,0% 0% 0% 100%,63.323
mandelbrot,Go,6,1000,700,0.200,0,0,0% 0% 5% 100%,0.202
mandelbrot,Go,6,4000,700,3.060,2616,0,0% 0% 1% 100%,3.063
mandelbrot,Go,6,16000,700,48.648,31556,0,0% 0% 0% 100%,48.667
mandelbrot,Java 7,2,1000,796,0.204,248,0,4% 0% 5% 95%,0.215
mandelbrot,Java 7,2,4000,796,1.796,16260,0,0% 0% 1% 99%,1.801
mandelbrot,Java 7,2,16000,796,26.924,68700,0,0% 1% 0% 100%,26.938
mandelbrot,C CINT,2,1000,400,21.129,4864,0,0% 1% 0% 100%,21.138
mandelbrot,C CINT,2,4000,400,331.181,4868,0,0% 0% 1% 100%,331.25
mandelbrot,C CINT,2,16000,400,5568.160,4860,0,0% 0% 0% 100%,5569.123
mandelbrot,Dart,1,1000,810,0.548,14464,0,0% 0% 4% 100%,0.552
mandelbrot,Dart,1,4000,810,3.952,28280,0,1% 0% 0% 100%,3.961
mandelbrot,Dart,1,16000,810,53.396,138628,0,1% 0% 0% 100%,53.42
mandelbrot,Smalltalk VisualWorks,2,1000,467,3.016,21952,0,0% 1% 1% 99%,3.055
mandelbrot,Smalltalk VisualWorks,2,4000,467,47.167,21948,0,0% 0% 0% 100%,47.2
mandelbrot,Smalltalk VisualWorks,2,16000,467,758.879,22216,0,0% 0% 0% 100%,759.188
mandelbrot,Scala,4,1000,786,0.424,17300,0,2% 0% 2% 100%,0.428
mandelbrot,Scala,4,4000,786,4.008,57636,0,0% 1% 1% 100%,4.015
mandelbrot,Scala,4,16000,786,28.188,167276,0,0% 0% 0% 100%,28.209
mandelbrot,PHP,1,1000,443,4.772,2540,0,0% 0% 0% 100%,4.778
mandelbrot,PHP,1,4000,443,74.032,2800,0,0% 0% 0% 100%,74.065
mandelbrot,PHP,1,16000,443,1161.916,3120,0,1% 0% 0% 100%,1162.373
mandelbrot,Perl,3,1000,370,12.580,1732,0,1% 1% 1% 100%,12.587
mandelbrot,Perl,3,4000,370,194.644,1732,0,0% 1% 1% 100%,194.728
mandelbrot,Perl,3,16000,370,3144.216,1992,0,0% 1% 0% 100%,3145.529
mandelbrot,F# Mono,4,1000,869,0.344,284,0,0% 6% 3% 100%,0.348
mandelbrot,F# Mono,4,4000,869,2.500,19524,0,0% 3% 0% 100%,2.505
mandelbrot,F# Mono,4,16000,869,35.900,54412,0,0% 0% 1% 100%,35.915
mandelbrot,Erlang HiPE,1,1000,534,1.908,10524,0,0% 1% 1% 100%,1.918
mandelbrot,Erlang HiPE,1,4000,534,25.210,67012,0,0% 0% 0% 100%,25.226
mandelbrot,Erlang HiPE,1,16000,534,370.795,634912,0,0% 0% 0% 100%,370.977
mandelbrot,Haskell GHC,2,1000,782,0.180,0,0,5% 0% 0% 100%,0.185
mandelbrot,Haskell GHC,2,4000,782,2.816,3952,0,3% 1% 2% 100%,2.822
mandelbrot,Haskell GHC,2,16000,782,43.963,35364,0,0% 0% 0% 100%,43.977
mandelbrot,Ruby JRuby,3,1000,307,10.080,574420,0,0% 0% 1% 100%,10.111
mandelbrot,Ruby JRuby,3,4000,307,69.312,585172,0,0% 1% 1% 100%,69.448
mandelbrot,Ruby JRuby,3,16000,307,1022.780,586940,0,0% 0% 1% 100%,1024.663
mandelbrot,Ada 2005 GNAT,3,1000,1805,0.104,0,0,0% 0% 8% 91%,0.117
mandelbrot,Ada 2005 GNAT,3,4000,1805,1.572,2496,0,1% 0% 3% 99%,1.587
mandelbrot,Ada 2005 GNAT,3,16000,1805,24.796,29724,0,0% 1% 1% 100%,24.818
mandelbrot,Lisp SBCL,1,1000,2459,0.280,264,0,3% 0% 7% 97%,0.282
mandelbrot,Lisp SBCL,1,4000,2459,4.228,5604,0,0% 0% 0% 100%,4.235
mandelbrot,Lisp SBCL,1,16000,2459,67.116,36004,0,0% 0% 0% 100%,67.14
meteor-contest,OCaml,1,2098,2156,0.764,2184,0,0% 1% 1% 100%,0.767
meteor-contest,Ruby JRuby,2,2098,2786,21.416,600128,0,0% 0% 0% 100%,21.468
meteor-contest,C++ g++,6,2098,2620,0.040,0,0,0% 0% 0% 100%,0.042
meteor-contest,Smalltalk VisualWorks,1,2098,5304,0.548,21428,0,0% 0% 0% 100%,0.55
meteor-contest,Haskell GHC,5,2098,2919,0.460,2360,0,0% 0% 4% 100%,0.464
meteor-contest,Perl,2,2098,1502,23.320,2844,0,0% 0% 0% 100%,23.332
meteor-contest,Ada 2005 GNAT,1,2098,7416,0.084,0,0,11% 0% 0% 100%,0.088
meteor-contest,Java 7,2,2098,5177,0.412,17932,0,2% 0% 2% 100%,0.417
meteor-contest,Ruby 2.0,2,2098,2786,9.336,5028,0,0% 0% 0% 100%,9.345
meteor-contest,Lua,4,2098,2225,0.724,3048,0,0% 0% 0% 100%,0.726
meteor-contest,C gcc,1,2098,3066,0.104,0,0,9% 0% 0% 100%,0.107
meteor-contest,Clojure,2,2098,3689,14.280,84168,0,0% 0% 0% 100%,14.306
meteor-contest,Pascal Free Pascal,3,2098,5471,0.092,0,0,0% 0% 0% 91%,0.097
meteor-contest,Racket,1,2098,1907,2.268,16748,0,0% 0% 0% 100%,2.273
meteor-contest,Go,1,2098,2986,0.180,0,0,5% 0% 0% 100%,0.185
meteor-contest,Python 3,2,2098,1311,8.741,4796,0,0% 0% 1% 100%,8.745
n-body,Lisp SBCL,2,500000,1398,0.384,268,0,3% 0% 3% 100%,0.389
n-body,Lisp SBCL,2,5000000,1398,3.764,4084,0,1% 0% 1% 100%,3.77
n-body,Lisp SBCL,2,50000000,1398,37.548,4084,0,0% 0% 0% 100%,37.563
n-body,Ada 2005 GNAT,5,500000,2427,0.152,0,0,6% 0% 0% 100%,0.156
n-body,Ada 2005 GNAT,5,5000000,2427,1.512,1232,0,1% 3% 7% 99%,1.515
n-body,Ada 2005 GNAT,5,50000000,2427,15.112,1236,0,0% 1% 1% 100%,15.117
n-body,Erlang HiPE,3,500000,1399,1.160,7652,0,0% 1% 2% 100%,1.167
n-body,Erlang HiPE,3,5000000,1399,15.653,7628,0,1% 1% 2% 100%,15.664
n-body,Erlang HiPE,3,50000000,1399,167.566,7632,0,0% 0% 0% 100%,167.614
n-body,Python 3,1,500000,1181,11.037,4712,0,0% 1% 0% 100%,11.043
n-body,Python 3,1,5000000,1181,107.051,4704,0,0% 0% 0% 100%,107.077
n-body,Python 3,1,50000000,1181,1098.645,4700,0,0% 0% 0% 100%,1098.886
n-body,Perl,2,500000,1401,11.416,1988,0,0% 0% 0% 100%,11.425
n-body,Perl,2,5000000,1401,114.020,1988,0,0% 0% 0% 100%,114.068
n-body,Perl,2,50000000,1401,1137.096,1992,0,0% 0% 0% 100%,1137.555
n-body,C gcc,4,500000,1490,0.100,0,0,0% 0% 0% 100%,0.102
n-body,C gcc,4,5000000,1490,0.996,344,0,1% 0% 2% 100%,1.001
n-body,C gcc,4,50000000,1490,9.932,344,0,0% 0% 1% 100%,9.937
n-body,Go,1,500000,1310,0.368,260,0,5% 0% 3% 100%,0.371
n-body,Go,1,5000000,1310,3.572,1004,0,0% 0% 1% 100%,3.578
n-body,Go,1,50000000,1310,35.688,1004,0,0% 0% 0% 100%,35.701
n-body,Lua,2,500000,1193,4.496,836,0,0% 0% 0% 100%,4.499
n-body,Lua,2,5000000,1193,47.643,836,0,0% 0% 0% 100%,47.657
n-body,Lua,2,50000000,1193,461.369,836,0,0% 0% 0% 100%,461.469
n-body,Fortran Intel,2,500000,1496,0.204,520,0,0% 5% 5% 96%,0.215
n-body,Fortran Intel,2,5000000,1496,2.008,520,0,0% 0% 1% 100%,2.014
n-body,Fortran Intel,2,50000000,1496,20.049,520,0,0% 0% 1% 100%,20.055
n-body,Pascal Free Pascal,1,500000,1308,0.348,8,0,0% 0% 0% 100%,0.35
n-body,Pascal Free Pascal,1,5000000,1308,3.472,8,0,0% 1% 0% 100%,3.475
n-body,Pascal Free Pascal,1,50000000,1308,34.714,8,0,0% 0% 0% 100%,34.725
n-body,Racket,2,500000,1689,0.752,17248,0,2% 1% 1% 98%,1.296
n-body,Racket,2,5000000,1689,5.908,17256,0,0% 0% 1% 100%,5.913
n-body,Racket,2,50000000,1689,55.272,17384,0,0% 0% 0% 100%,55.305
n-body,Ruby 2.0,2,500000,1137,15.188,4916,0,0% 0% 0% 100%,15.201
n-body,Ruby 2.0,2,5000000,1137,157.752,4916,0,0% 0% 0% 100%,157.82
n-body,Ruby 2.0,2,50000000,1137,1541.628,4920,0,0% 0% 0% 100%,1542.287
n-body,C CINT,1,500000,1173,722.569,5284,0,0% 0% 0% 100%,722.786
n-body,C CINT,1,5000000,1173,7211.279,5288,0,0% 0% 0% 100%,7213.374
n-body,C CINT,1,50000000,1173,72389.760,5288,0,0% 0% 0% 100%,72410.799
n-body,C++ g++,7,500000,1545,0.092,0,0,10% 0% 0% 100%,0.094
n-body,C++ g++,7,5000000,1545,0.908,344,0,3% 8% 27% 100%,0.911
n-body,C++ g++,7,50000000,1545,9.064,344,0,2% 3% 2% 100%,9.072
n-body,Haskell GHC,2,500000,1874,0.240,260,0,0% 50% 13% 100%,0.243
n-body,Haskell GHC,2,5000000,1874,2.384,1840,0,0% 52% 15% 100%,2.387
n-body,Haskell GHC,2,50000000,1874,23.677,1840,0,0% 0% 0% 100%,23.689
n-body,C# Mono,3,500000,1305,0.312,256,0,3% 7% 0% 100%,0.314
n-body,C# Mono,3,5000000,1305,2.384,14916,0,0% 1% 1% 100%,2.389
n-body,C# Mono,3,50000000,1305,23.064,14916,0,0% 0% 0% 100%,23.072
n-body,Ruby JRuby,2,500000,1137,13.660,598924,0,0% 1% 0% 100%,13.69
n-body,Ruby JRuby,2,5000000,1137,62.444,602524,0,0% 1% 1% 100%,62.553
n-body,Ruby JRuby,2,50000000,1137,552.020,603644,0,0% 0% 0% 100%,552.914
n-body,JavaScript V8,2,500000,1527,0.428,7816,0,0% 0% 5% 100%,0.43
n-body,JavaScript V8,2,5000000,1527,4.044,7356,0,1% 0% 0% 100%,4.05
n-body,JavaScript V8,2,50000000,1527,42.136,8016,0,0% 0% 0% 100%,42.232
n-body,Java 7,2,500000,1424,0.388,248,0,0% 3% 5% 100%,0.392
n-body,Java 7,2,5000000,1424,2.888,14644,0,0% 0% 0% 100%,2.891
n-body,Java 7,2,50000000,1424,27.912,14912,0,0% 0% 0% 100%,27.925
n-body,F# Mono,1,500000,1259,0.624,19872,0,0% 2% 0% 100%,0.629
n-body,F# Mono,1,5000000,1259,2.856,22776,0,2% 1% 1% 100%,2.862
n-body,F# Mono,1,50000000,1259,25.188,22776,0,0% 1% 1% 100%,25.199
n-body,Scala,1,500000,1358,0.488,16800,0,0% 0% 2% 100%,0.492
n-body,Scala,1,5000000,1358,2.592,19420,0,0% 0% 1% 100%,2.595
n-body,Scala,1,50000000,1358,23.488,19428,0,0% 0% 1% 100%,23.501
n-body,Clojure,1,500000,2162,12.116,55336,0,1% 1% 0% 100%,12.129
n-body,Clojure,1,5000000,2162,15.328,63036,0,0% 0% 0% 100%,15.345
n-body,Clojure,1,50000000,2162,42.308,66672,0,0% 0% 0% 100%,42.333
n-body,Dart,2,500000,1305,0.600,38260,0,5% 0% 3% 100%,0.603
n-body,Dart,2,5000000,1305,5.500,38264,0,3% 0% 0% 100%,5.512
n-body,Dart,2,50000000,1305,53.880,38268,0,2% 0% 0% 100%,53.97
n-body,Smalltalk VisualWorks,1,500000,1652,2.688,21952,0,2% 1% 1% 99%,2.731
n-body,Smalltalk VisualWorks,1,5000000,1652,26.466,21952,0,0% 0% 0% 100%,26.476
n-body,Smalltalk VisualWorks,1,50000000,1652,263.108,21956,0,0% 0% 0% 100%,263.239
n-body,ATS,2,500000,1920,0.208,316,0,0% 5% 0% 95%,0.215
n-body,ATS,2,5000000,1920,2.072,320,0,0% 0% 1% 100%,2.075
n-body,ATS,2,50000000,1920,20.645,320,0,0% 1% 0% 100%,20.654
n-body,PHP,3,500000,1082,7.220,2588,0,2% 1% 0% 100%,7.227
n-body,PHP,3,5000000,1082,77.184,2592,0,0% 0% 0% 100%,77.216
n-body,PHP,3,50000000,1082,770.700,2588,0,0% 0% 0% 100%,771.004
n-body,OCaml,1,500000,1239,0.560,596,0,0% 0% 2% 100%,0.565
n-body,OCaml,1,5000000,1239,5.616,596,0,0% 1% 1% 100%,5.621
n-body,OCaml,1,50000000,1239,49.908,596,0,0% 0% 0% 100%,49.925
pidigits,Lua,5,2000,479,0.104,0,0,0% 0% 9% 100%,0.106
pidigits,Lua,5,6000,479,0.872,1188,0,0% 0% 0% 100%,0.874
pidigits,Lua,5,10000,479,2.512,1460,0,0% 1% 1% 100%,2.516
